iter	Passed	Remaining
214	1084	3960
215	1088	3951
216	1092	3941
217	1095	3930
218	1099	3920
219	1103	3910
220	1107	3902
221	1111	3896
222	1115	3887
223	1120	3881
224	1124	3872
225	1128	3864
226	1132	3855
227	1136	3847
228	1140	3839
229	1144	3831
230	1148	3823
231	1152	3814
232	1156	3806
233	1160	3797
234	1163	3789
235	1168	3781
236	1171	3772
237	1175	3763
238	1179	3754
239	1182	3745
240	1186	3737
241	1190	3728
242	1194	3719
243	1197	3711
244	1201	3702
245	1205	3695
246	1209	3686
247	1213	3680
248	1217	3672
249	1221	3665
250	1226	3659
251	1229	3650
252	1233	3642
253	1237	3633
254	1240	3625
255	1244	3617
256	1248	3608
257	1251	3600
258	1255	3592
259	1259	3584
260	1263	3576
261	1266	3568
262	1270	3559
263	1274	3552
264	1277	3543
265	1281	3535
266	1284	3527
267	1289	3521
268	1292	3512
269	1296	3504
270	1299	3496
271	1303	3488
272	1306	3480
273	1310	3472
274	1313	3464
275	1317	3457
276	1321	3450
277	1325	3443
278	1329	3436
279	1333	3429
280	1337	3421
281	1340	3413
282	1344	3405
283	1347	3398
284	1352	3392
285	1357	3387
286	1360	3381
287	1364	3374
288	1368	3366
289	1372	3359
290	1375	3351
291	1379	3344
292	1383	3337
293	1386	3329
294	1390	3322
295	1393	3314
296	1397	3307
297	1400	3299
298	1404	3292
299	1407	3284
300	1412	3279
301	1416	3273
302	1420	3268
303	1426	3265
304	1430	3259
305	1434	3254
306	1439	3248
307	1443	3243
308	1448	3238
309	1452	3232
310	1456	3226
311	1460	3220
312	1464	3213
313	1468	3207
314	1471	3200
315	1475	3193
316	1478	3186
317	1482	3179
318	1486	3172
319	1489	3165
320	1493	3158
321	1496	3151
322	1500	3145
323	1504	3139
324	1508	3132
325	1512	3126
326	1516	3120
327	1519	3113
328	1523	3107
329	1527	3100
330	1530	3094
331	1534	3087
332	1538	3080
333	1541	3074
334	1545	3067
335	1548	3060
336	1552	3053
337	1555	3047
338	1559	3040
339	1562	3033
340	1566	3027
341	1570	3020
342	1573	3014
343	1577	3007
344	1580	3001
345	1584	2994
346	1588	2988
347	1592	2982
348	1595	2976
349	1599	2969
350	1602	2963
351	1606	2957
352	1609	2950
353	1613	2944
354	1617	2938
355	1622	2934
356	1626	2928
357	1630	2923
358	1634	2918
359	1638	2912
360	1642	2907
361	1646	2901
362	1650	2895
363	1653	2889
364	1658	2884
365	1662	2880
366	1666	2874
367	1670	2869
368	1675	2864
369	1680	2861
370	1685	2856
371	1689	2851
372	1693	2846
373	1697	2840
374	1701	2835
375	1704	2829
376	1708	2823
377	1712	2817
378	1716	2811
379	1719	2805
380	1723	2799
381	1727	2794
382	1731	2789
383	1735	2783
384	1739	2778
385	1743	2772
386	1746	2767
387	1751	2762
388	1754	2756
389	1758	2750
390	1762	2745
391	1766	2739
392	1769	2733
393	1773	2728
394	1777	2722
395	1780	2716
396	1784	2710
397	1788	2704
398	1791	2698
399	1795	2692
400	1798	2686
401	1802	2681
402	1805	2675
403	1809	2669
404	1813	2663
405	1817	2658
406	1820	2652
407	1824	2646
408	1827	2641
409	1831	2636
410	1836	2631
411	1840	2626
412	1844	2621
413	1848	2616
414	1852	2611
415	1856	2605
416	1860	2600
417	1863	2595
418	1867	2589
419	1871	2583
420	1874	2578
421	1878	2572
